Date;Wind speed  (vc avg);Wind  direction  (vc avg);Wind  speed (max);Wind Dir.(Max wind speed);latitude;longitude;station_id
15 Jul 2019;;;;;-24.1296;15.8947;31201
16 Jul 2019;;;;;-24.1296;15.8947;31201
17 Jul 2019;;;;;-24.1296;15.8947;31201
18 Jul 2019;;;;;-24.1296;15.8947;31201
19 Jul 2019;;;;;-24.1296;15.8947;31201
20 Jul 2019;;;;;-24.1296;15.8947;31201
21 Jul 2019;;;;;-24.1296;15.8947;31201
22 Jul 2019;;;;;-24.1296;15.8947;31201
23 Jul 2019;;;;;-24.1296;15.8947;31201
24 Jul 2019;;;;;-24.1296;15.8947;31201
25 Jul 2019;;;;;-24.1296;15.8947;31201
26 Jul 2019;;;;;-24.1296;15.8947;31201
27 Jul 2019;;;;;-24.1296;15.8947;31201
28 Jul 2019;;;;;-24.1296;15.8947;31201
29 Jul 2019;;;;;-24.1296;15.8947;31201
30 Jul 2019;;;;;-24.1296;15.8947;31201
31 Jul 2019;;;;;-24.1296;15.8947;31201
01 Aug 2019;;;;;-24.1296;15.8947;31201
02 Aug 2019;;;;;-24.1296;15.8947;31201
03 Aug 2019;;;;;-24.1296;15.8947;31201
04 Aug 2019;;;;;-24.1296;15.8947;31201
05 Aug 2019;;;;;-24.1296;15.8947;31201
06 Aug 2019;;;;;-24.1296;15.8947;31201
07 Aug 2019;;;;;-24.1296;15.8947;31201
08 Aug 2019;;;;;-24.1296;15.8947;31201
09 Aug 2019;;;;;-24.1296;15.8947;31201
10 Aug 2019;;;;;-24.1296;15.8947;31201
11 Aug 2019;;;;;-24.1296;15.8947;31201
12 Aug 2019;;;;;-24.1296;15.8947;31201
13 Aug 2019;;;;;-24.1296;15.8947;31201
14 Aug 2019;;;;;-24.1296;15.8947;31201
15 Aug 2019;;;;;-24.1296;15.8947;31201
16 Aug 2019;;;;;-24.1296;15.8947;31201
17 Aug 2019;;;;;-24.1296;15.8947;31201
18 Aug 2019;;;;;-24.1296;15.8947;31201
19 Aug 2019;;;;;-24.1296;15.8947;31201
20 Aug 2019;;;;;-24.1296;15.8947;31201
21 Aug 2019;;;;;-24.1296;15.8947;31201
22 Aug 2019;;;;;-24.1296;15.8947;31201
23 Aug 2019;;;;;-24.1296;15.8947;31201
24 Aug 2019;;;;;-24.1296;15.8947;31201
25 Aug 2019;;;;;-24.1296;15.8947;31201
26 Aug 2019;;;;;-24.1296;15.8947;31201
27 Aug 2019;;;;;-24.1296;15.8947;31201
28 Aug 2019;;;;;-24.1296;15.8947;31201
29 Aug 2019;;;;;-24.1296;15.8947;31201
30 Aug 2019;;;;;-24.1296;15.8947;31201
31 Aug 2019;;;;;-24.1296;15.8947;31201
01 May 2020;0.6;307.5967731848;6.3;27.59;-24.1296;15.8947;31201
02 May 2020;2.1;229.62868812785;5.4;226.6;-24.1296;15.8947;31201
03 May 2020;1.6;241.31332867402;5.1;283.9;-24.1296;15.8947;31201
04 May 2020;1.3;193.343024182;5.0;220.4;-24.1296;15.8947;31201
05 May 2020;2.0;96.942989677391;6.7;23.16;-24.1296;15.8947;31201
06 May 2020;2.5;68.810370239399;8.6;40.16;-24.1296;15.8947;31201
07 May 2020;1.5;132.9642798591;5.6;180.4;-24.1296;15.8947;31201
08 May 2020;2.4;189.04629409928;7.2;176.0;-24.1296;15.8947;31201
09 May 2020;0.6;46.322738570642;4.5;4.34;-24.1296;15.8947;31201
10 May 2020;2.6;21.040541585;9.3;27.12;-24.1296;15.8947;31201
11 May 2020;1.6;0.88438160922703;7.0;327.8;-24.1296;15.8947;31201
12 May 2020;2.0;218.3002084752;6.7;229.8;-24.1296;15.8947;31201
13 May 2020;0.5;237.97332332071;3.3;260.3;-24.1296;15.8947;31201
14 May 2020;0.4;284.47785414276;8.2;27.88;-24.1296;15.8947;31201
15 May 2020;1.5;223.34101820969;3.9;230.8;-24.1296;15.8947;31201
16 May 2020;1.0;165.96627192987;4.5;184.8;-24.1296;15.8947;31201
17 May 2020;0.7;226.3307235098;4.9;210.5;-24.1296;15.8947;31201
18 May 2020;1.2;64.198046668975;5.8;32.98;-24.1296;15.8947;31201
19 May 2020;2.8;25.859019974082;7.7;34.95;-24.1296;15.8947;31201
20 May 2020;2.8;3.5708537661706;6.8;24.9;-24.1296;15.8947;31201
21 May 2020;1.2;239.86931691398;4.7;214.0;-24.1296;15.8947;31201
22 May 2020;1.0;223.45091822484;5.3;216.8;-24.1296;15.8947;31201
23 May 2020;1.0;242.50074183399;5.5;228.6;-24.1296;15.8947;31201
24 May 2020;1.6;269.2301878157;5.9;341.0;-24.1296;15.8947;31201
25 May 2020;1.9;230.91451281438;4.9;214.3;-24.1296;15.8947;31201
26 May 2020;1.0;277.59373820967;3.3;257.6;-24.1296;15.8947;31201
27 May 2020;0.9;169.83527022584;3.9;182.6;-24.1296;15.8947;31201
28 May 2020;1.5;268.95718692618;4.6;312.0;-24.1296;15.8947;31201
29 May 2020;1.0;272.93877241036;4.3;340.8;-24.1296;15.8947;31201
30 May 2020;1.0;250.7604074965;3.7;329.6;-24.1296;15.8947;31201
31 May 2020;1.0;229.57067370445;5.7;334.6;-24.1296;15.8947;31201
01 Jun 2020;0.6;278.63956982108;4.2;342.9;-24.1296;15.8947;31201
02 Jun 2020;0.5;223.50684797438;5.6;359.5;-24.1296;15.8947;31201
03 Jun 2020;1.0;249.94386034566;5.2;211.3;-24.1296;15.8947;31201
04 Jun 2020;1.2;231.11046919056;5.8;302.3;-24.1296;15.8947;31201
05 Jun 2020;1.1;171.51317687166;4.6;178.2;-24.1296;15.8947;31201
06 Jun 2020;0.2;9.7090189030444;6.7;22.02;-24.1296;15.8947;31201
07 Jun 2020;0.3;355.0928813177;7.0;35.91;-24.1296;15.8947;31201
08 Jun 2020;2.8;330.52069198772;6.9;327.1;-24.1296;15.8947;31201
09 Jun 2020;3.4;309.98926596534;6.4;310.5;-24.1296;15.8947;31201
10 Jun 2020;2.4;253.0486564593;5.6;182.1;-24.1296;15.8947;31201
11 Jun 2020;4.7;167.06279978834;7.8;178.8;-24.1296;15.8947;31201
12 Jun 2020;4.5;98.224398428589;6.6;96.9;-24.1296;15.8947;31201
13 Jun 2020;2.2;102.64581029431;6.1;67.79;-24.1296;15.8947;31201
14 Jun 2020;1.1;231.56405985122;3.5;330.6;-24.1296;15.8947;31201
15 Jun 2020;1.0;152.14035058561;3.4;93.1;-24.1296;15.8947;31201
16 Jun 2020;3.4;92.164826099675;5.7;66.38;-24.1296;15.8947;31201
17 Jun 2020;2.4;76.644820636408;6.5;57.3;-24.1296;15.8947;31201
18 Jun 2020;1.8;40.89074440092;6.6;14.77;-24.1296;15.8947;31201
19 Jun 2020;1.0;24.65662001809;5.0;13.83;-24.1296;15.8947;31201
20 Jun 2020;1.6;266.13938230154;5.4;334.8;-24.1296;15.8947;31201
21 Jun 2020;0.9;211.97206966534;3.0;199.7;-24.1296;15.8947;31201
